category,amt,gender,dob,transaction_hour,is_fraud
4,131.63,0,55,0,0
7,48.45,1,39,23,0
4,348.06,0,50,11,1
12,1083.3,1,69,22,1
13,2.86,0,62,23,0
5,188.95,0,39,23,0
10,78.67,1,48,19,0
12,817.89,0,88,22,1
9,617.9,1,55,4,0
1,3.56,0,38,13,0
8,613.99,1,95,23,1
7,35.34,0,55,15,0
1,60.65,0,67,21,0
2,65.18,0,54,0,0
5,20.18,0,25,12,0
4,279.94,1,30,1,1
11,41.68,0,36,18,0
12,9.13,0,46,17,0
11,1115.25,1,22,22,1
8,978.91,1,57,22,1
4,326.64,0,93,2,1
4,297.47,1,42,22,1
9,8.32,0,38,3,1
7,43.64,0,89,14,0
8,659.87,1,94,23,1
4,355.09,0,51,2,1
11,968.03,0,65,13,1
7,17.51,0,49,23,1
10,21.54,0,35,14,1
0,470.34,0,73,22,1
4,212.04,0,47,8,0
10,21.36,1,77,18,0
11,9.66,0,59,6,0
12,6.56,0,38,19,0
10,73.36,1,32,18,0
8,13.24,1,49,16,0
2,40.88,0,50,6,0
11,844.77,0,65,23,1
6,47.89,0,66,12,0
12,916.04,1,36,22,1
0,135.42,1,36,23,0
2,57.1,1,55,3,0
5,145.36,0,66,13,0
4,141.33,1,62,10,0
7,29.14,0,63,12,0
1,100.93,1,27,20,0
0,6.29,1,35,17,0
2,60.53,0,39,2,0
4,311.38,1,36,1,1
4,329.83,1,30,1,1
11,932.95,1,43,12,1
4,320.88,1,67,2,1
7,18.91,0,38,22,1
11,2.87,0,50,15,0
6,24.96,1,94,23,0
6,54.48,1,70,18,0
8,859.74,1,40,22,1
5,18.05,0,33,22,1
9,38.09,1,33,8,0
4,194.52,0,30,11,0
11,1059.29,0,70,22,1
8,797.13,0,63,23,1
6,10.85,0,51,17,0
12,727.91,0,36,2,1
11,1029.56,1,32,23,1
4,293.04,0,97,1,1
13,5421.72,1,74,12,0
4,283.05,1,23,3,1
5,54.51,0,36,22,0
10,20.09,0,50,23,0
1,274.98,1,43,19,0
2,18.86,1,71,3,1
9,33.58,1,33,11,0
4,300.0,0,27,0,1
4,103.42,1,29,3,0
9,1.59,0,50,21,0
2,20.34,1,55,7,0
12,132.48,1,33,4,0
8,719.14,1,66,22,1
8,1.76,0,59,5,0
4,283.38,1,44,23,1
8,725.33,1,36,0,1
8,3.39,0,40,7,0
11,981.45,0,34,11,1
8,774.65,1,40,23,1
2,10.32,0,70,3,1
1,111.46,0,58,23,1
11,976.1,1,40,23,1
7,80.37,0,36,23,0
11,969.19,1,59,20,1
11,883.36,1,32,23,1
0,166.51,1,40,23,0
2,6.79,1,48,0,1
4,358.01,0,31,1,1
8,927.45,0,55,23,1
1,22.93,0,34,13,0
7,33.93,0,66,15,0
5,7.77,1,56,13,0
5,108.36,1,49,23,0
11,1104.69,1,67,15,1
8,768.37,1,61,22,1
5,2.75,0,52,15,0
13,8.59,1,60,12,0
6,303.23,0,28,20,1
4,294.51,1,75,0,1
11,1135.27,0,25,22,1
2,70.41,0,27,8,0
0,31.84,1,75,11,0
11,9.49,0,36,18,0
4,359.25,1,23,1,1
1,129.24,0,37,17,1
